Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,2,0.61,symmetric,0.42795315894973046
100% Corpus,2,0.9099999999999999,0.01,0.4030029606782815
100% Corpus,2,0.9099999999999999,0.31,0.4475962563151352
100% Corpus,2,0.9099999999999999,0.61,0.4868479071891006
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.4842253039652055
100% Corpus,2,0.9099999999999999,symmetric,0.44026854079226285
100% Corpus,2,symmetric,0.01,0.4063290586480166
100% Corpus,2,symmetric,0.31,0.4286504144242567
100% Corpus,2,symmetric,0.61,0.4236604365823573
100% Corpus,2,symmetric,0.9099999999999999,0.4528592713138476
100% Corpus,2,symmetric,symmetric,0.4327441820625637
100% Corpus,2,asymmetric,0.01,0.33312439284939355
100% Corpus,2,asymmetric,0.31,0.32661192115259174
100% Corpus,2,asymmetric,0.61,0.3906074286839819
100% Corpus,2,asymmetric,0.9099999999999999,0.3733792916939329
100% Corpus,2,asymmetric,symmetric,0.36280998715606316
100% Corpus,3,0.01,0.01,0.40369933184762513
100% Corpus,3,0.01,0.31,0.4400422641433499
100% Corpus,3,0.01,0.61,0.4281155491642726
100% Corpus,3,0.01,0.9099999999999999,0.42595857600865283
100% Corpus,3,0.01,symmetric,0.4348350194760549
100% Corpus,3,0.31,0.01,0.43057774481507866
100% Corpus,3,0.31,0.31,0.4190200642712689
100% Corpus,3,0.31,0.61,0.42616454257166686
100% Corpus,3,0.31,0.9099999999999999,0.43935722308071207
100% Corpus,3,0.31,symmetric,0.4293624474068538
100% Corpus,3,0.61,0.01,0.4630959747153945
100% Corpus,3,0.61,0.31,0.4373083548426813
100% Corpus,3,0.61,0.61,0.4089972893650364
100% Corpus,3,0.61,0.9099999999999999,0.4043376173839297
100% Corpus,3,0.61,symmetric,0.43948737556951506
100% Corpus,3,0.9099999999999999,0.01,0.45692641059114836
100% Corpus,3,0.9099999999999999,0.31,0.44608844330472985
100% Corpus,3,0.9099999999999999,0.61,0.4539901571398441
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.4396644939102668
100% Corpus,3,0.9099999999999999,symmetric,0.44608844330472985
100% Corpus,3,symmetric,0.01,0.43057774481507866
100% Corpus,3,symmetric,0.31,0.4216030374033372
100% Corpus,3,symmetric,0.61,0.4205071058214318
100% Corpus,3,symmetric,0.9099999999999999,0.4268624049014292
100% Corpus,3,symmetric,symmetric,0.42974098268339395
100% Corpus,3,asymmetric,0.01,0.4252289203447858
100% Corpus,3,asymmetric,0.31,0.30606699520907327
100% Corpus,3,asymmetric,0.61,0.42541301550519206
100% Corpus,3,asymmetric,0.9099999999999999,0.5341713432616843
100% Corpus,3,asymmetric,symmetric,0.29192477188317717
100% Corpus,4,0.01,0.01,0.45718519753091263
100% Corpus,4,0.01,0.31,0.42860815515574485
100% Corpus,4,0.01,0.61,0.3965025702130731
100% Corpus,4,0.01,0.9099999999999999,0.3753081941711384
100% Corpus,4,0.01,symmetric,0.44676177089715774
100% Corpus,4,0.31,0.01,0.4351749438246707
100% Corpus,4,0.31,0.31,0.4393701551634103
100% Corpus,4,0.31,0.61,0.442199199553773
100% Corpus,4,0.31,0.9099999999999999,0.43321951812791126
100% Corpus,4,0.31,symmetric,0.448316850481176
100% Corpus,4,0.61,0.01,0.46584089934012973
100% Corpus,4,0.61,0.31,0.47858129268647487
100% Corpus,4,0.61,0.61,0.4527197753502826
100% Corpus,4,0.61,0.9099999999999999,0.4545939520811697
100% Corpus,4,0.61,symmetric,0.4711318050800938
100% Corpus,4,0.9099999999999999,0.01,0.4917037697040732
100% Corpus,4,0.9099999999999999,0.31,0.49877197878339324
100% Corpus,4,0.9099999999999999,0.61,0.4724465995133024
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.41322118200680447
100% Corpus,4,0.9099999999999999,symmetric,0.49877197878339324
100% Corpus,4,symmetric,0.01,0.4571051793951478
100% Corpus,4,symmetric,0.31,0.463588562389635
100% Corpus,4,symmetric,0.61,0.4441271349698409
100% Corpus,4,symmetric,0.9099999999999999,0.43848179556091826
100% Corpus,4,symmetric,symmetric,0.4676795648995298
100% Corpus,4,asymmetric,0.01,0.4011714419622434
100% Corpus,4,asymmetric,0.31,0.33345728136721253
100% Corpus,4,asymmetric,0.61,0.3994891801569809
100% Corpus,4,asymmetric,0.9099999999999999,0.5074031988051169
100% Corpus,4,asymmetric,symmetric,0.34123526707057683
100% Corpus,5,0.01,0.01,0.3828477368104829
100% Corpus,5,0.01,0.31,0.43432118521411256
100% Corpus,5,0.01,0.61,0.4199885156233524
100% Corpus,5,0.01,0.9099999999999999,0.40014660709401717
100% Corpus,5,0.01,symmetric,0.4317101301241054
100% Corpus,5,0.31,0.01,0.4133040585614108
100% Corpus,5,0.31,0.31,0.410377427045902
100% Corpus,5,0.31,0.61,0.414398000524113
100% Corpus,5,0.31,0.9099999999999999,0.42444274759935585
100% Corpus,5,0.31,symmetric,0.42406903632051457
100% Corpus,5,0.61,0.01,0.44945979452499624
100% Corpus,5,0.61,0.31,0.4415686644545603
100% Corpus,5,0.61,0.61,0.4591928100247342
100% Corpus,5,0.61,0.9099999999999999,0.44631707269865195
100% Corpus,5,0.61,symmetric,0.4304088887755929
100% Corpus,5,0.9099999999999999,0.01,0.45720770964595625
100% Corpus,5,0.9099999999999999,0.31,0.4676979148631536
100% Corpus,5,0.9099999999999999,0.61,0.4288462238179768
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.40445469638833487
100% Corpus,5,0.9099999999999999,symmetric,0.45712277546799057
100% Corpus,5,symmetric,0.01,0.4225599083411903
100% Corpus,5,symmetric,0.31,0.4140560560100382
100% Corpus,5,symmetric,0.61,0.43538577886540997
100% Corpus,5,symmetric,0.9099999999999999,0.42844229397918304
100% Corpus,5,symmetric,symmetric,0.42250029138814266
100% Corpus,5,asymmetric,0.01,0.4393120331922814
100% Corpus,5,asymmetric,0.31,0.3009066451105866
100% Corpus,5,asymmetric,0.61,0.2512699198016862
100% Corpus,5,asymmetric,0.9099999999999999,0.3113782397378775
100% Corpus,5,asymmetric,symmetric,0.34710561481311286
100% Corpus,6,0.01,0.01,0.41168625357104816
100% Corpus,6,0.01,0.31,0.40798712083962035
100% Corpus,6,0.01,0.61,0.42003777550160887
100% Corpus,6,0.01,0.9099999999999999,0.41238003677816115
100% Corpus,6,0.01,symmetric,0.4079954177037806
100% Corpus,6,0.31,0.01,0.43242180713678885
100% Corpus,6,0.31,0.31,0.42747548108102523
100% Corpus,6,0.31,0.61,0.4149462439219562
100% Corpus,6,0.31,0.9099999999999999,0.41931755622779093
100% Corpus,6,0.31,symmetric,0.4321132734244543
100% Corpus,6,0.61,0.01,0.42673198573733556
100% Corpus,6,0.61,0.31,0.4407474568293819
100% Corpus,6,0.61,0.61,0.45504886471250655
100% Corpus,6,0.61,0.9099999999999999,0.4304346168350597
100% Corpus,6,0.61,symmetric,0.4286767313251054
100% Corpus,6,0.9099999999999999,0.01,0.42665684032108125
100% Corpus,6,0.9099999999999999,0.31,0.4317297967555787
100% Corpus,6,0.9099999999999999,0.61,0.42375119167499503
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.40975162990920233
100% Corpus,6,0.9099999999999999,symmetric,0.4298633852018466
100% Corpus,6,symmetric,0.01,0.40505259473982486
100% Corpus,6,symmetric,0.31,0.4050550047635237
100% Corpus,6,symmetric,0.61,0.418504642847124
100% Corpus,6,symmetric,0.9099999999999999,0.41056261917736797
100% Corpus,6,symmetric,symmetric,0.4111292492877368
100% Corpus,6,asymmetric,0.01,0.4006911379842853
100% Corpus,6,asymmetric,0.31,0.32913791124479624
100% Corpus,6,asymmetric,0.61,0.2931514672479663
100% Corpus,6,asymmetric,0.9099999999999999,0.3378155718981805
100% Corpus,6,asymmetric,symmetric,0.363998072053584
100% Corpus,7,0.01,0.01,0.3987814266123131
100% Corpus,7,0.01,0.31,0.41228187689479395
100% Corpus,7,0.01,0.61,0.37892595690660075
100% Corpus,7,0.01,0.9099999999999999,0.4030320089468284
100% Corpus,7,0.01,symmetric,0.431510089937801
100% Corpus,7,0.31,0.01,0.4375975996981128
100% Corpus,7,0.31,0.31,0.4189564328353613
100% Corpus,7,0.31,0.61,0.4309897523967795
100% Corpus,7,0.31,0.9099999999999999,0.4147929882610996
100% Corpus,7,0.31,symmetric,0.43323372912482877
100% Corpus,7,0.61,0.01,0.42226455961393633
100% Corpus,7,0.61,0.31,0.42680701292044193
100% Corpus,7,0.61,0.61,0.4173462372930793
100% Corpus,7,0.61,0.9099999999999999,0.396900963680312
100% Corpus,7,0.61,symmetric,0.4225069535179685
100% Corpus,7,0.9099999999999999,0.01,0.40808312843906736
100% Corpus,7,0.9099999999999999,0.31,0.41894355868998157
100% Corpus,7,0.9099999999999999,0.61,0.39284207334134413
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.37920470962196645
100% Corpus,7,0.9099999999999999,symmetric,0.4250600883864012
100% Corpus,7,symmetric,0.01,0.39075030197990906
100% Corpus,7,symmetric,0.31,0.42530518867873784
100% Corpus,7,symmetric,0.61,0.4056707412741325
100% Corpus,7,symmetric,0.9099999999999999,0.4125253112364634
100% Corpus,7,symmetric,symmetric,0.39352490205132756
100% Corpus,7,asymmetric,0.01,0.37305592819427474
100% Corpus,7,asymmetric,0.31,0.3730433730625765
100% Corpus,7,asymmetric,0.61,0.35170636590919313
100% Corpus,7,asymmetric,0.9099999999999999,0.3434503385241423
100% Corpus,7,asymmetric,symmetric,0.3503756495399826
100% Corpus,8,0.01,0.01,0.38982627753287136
100% Corpus,8,0.01,0.31,0.3935997712748964
100% Corpus,8,0.01,0.61,0.40025419381287497
100% Corpus,8,0.01,0.9099999999999999,0.40180362979786033
100% Corpus,8,0.01,symmetric,0.3992955187248907
100% Corpus,8,0.31,0.01,0.42142710050709686
100% Corpus,8,0.31,0.31,0.41520610444160116
100% Corpus,8,0.31,0.61,0.39134569437545175
100% Corpus,8,0.31,0.9099999999999999,0.37903241279178745
100% Corpus,8,0.31,symmetric,0.4186318105940368
100% Corpus,8,0.61,0.01,0.4352739224098967
100% Corpus,8,0.61,0.31,0.43501362634803387
100% Corpus,8,0.61,0.61,0.3948267203484459
100% Corpus,8,0.61,0.9099999999999999,0.3432738513755044
100% Corpus,8,0.61,symmetric,0.43495684922735
100% Corpus,8,0.9099999999999999,0.01,0.3991719306350101
100% Corpus,8,0.9099999999999999,0.31,0.4096066862675038
100% Corpus,8,0.9099999999999999,0.61,0.35726376078480393
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.3351242783766697
100% Corpus,8,0.9099999999999999,symmetric,0.40835111951948777
100% Corpus,8,symmetric,0.01,0.40875290856390656
100% Corpus,8,symmetric,0.31,0.4036395157810567
100% Corpus,8,symmetric,0.61,0.39298348492264545
100% Corpus,8,symmetric,0.9099999999999999,0.38810839663734076
100% Corpus,8,symmetric,symmetric,0.3985340708855286
100% Corpus,8,asymmetric,0.01,0.3656795290448951
100% Corpus,8,asymmetric,0.31,0.34563437687392573
100% Corpus,8,asymmetric,0.61,0.4481420671446504
100% Corpus,8,asymmetric,0.9099999999999999,0.3528095986447051
100% Corpus,8,asymmetric,symmetric,0.3576370913730742
100% Corpus,9,0.01,0.01,0.4087182327227258
100% Corpus,9,0.01,0.31,0.4048443151370189
100% Corpus,9,0.01,0.61,0.3825970899811337
100% Corpus,9,0.01,0.9099999999999999,0.3641774106687216
100% Corpus,9,0.01,symmetric,0.39712267780553767
100% Corpus,9,0.31,0.01,0.4105194185926455
100% Corpus,9,0.31,0.31,0.4170514424530856
100% Corpus,9,0.31,0.61,0.39932450134406333
